paradigm,window,subject,fold,model,method,label_source,sample_idx,class_idx,runtime_seconds,hardware,score_type,n_samples_timed,partition_id,n_partitions,method_params
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,24,1,0.20669744899987563,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,27,1,0.2122661620001054,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,29,1,0.2066339349998998,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,30,1,0.21129953900003784,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,32,1,0.22482064899986653,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,35,0,0.225077039000098,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,38,1,0.2117117780001081,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,39,1,0.21187153699997907,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,0,0,0.18049151400009578,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,1,0,0.09106048900002861,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,3,0,0.09332417100017665,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,7,1,0.09121825700003683,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,9,0,0.09311947700007295,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,11,0,0.09393324300003769,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,12,0,0.09129245400004038,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,14,1,0.0962314430000788,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,17,0,0.08788389999995161,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,18,0,0.10845736700002817,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,19,0,0.09194348699998045,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,23,1,0.08995184300010806,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,24,1,0.0883971879998171,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,27,1,0.097575033999874,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,29,1,0.08923339500006477,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,30,1,0.08987235499989765,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,32,1,0.09713310999995883,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,35,0,0.08875619400009782,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
