data_fold,paradigm,window,model,method,subject,fold,percentage_removed,MoRF_score_mean,MoRF_score_std,LeRF_score_mean,LeRF_score_std,ROAD_score_gap_mean,ROAD_score_gap_std,n_samples
,MI,0-7,shallowconvnet,KernelSHAP,14.0,4,0.0,0.9904037982225418,0.024690078617475984,0.9904037982225418,0.024690078617475984,0.0,0.0,40
,MI,0-7,shallowconvnet,KernelSHAP,14.0,4,1.0,0.49998290162200415,0.506346670861885,0.4999979139256796,0.5062207763241123,1.5012303675465689e-05,0.0005421912595731347,40
,MI,0-7,shallowconvnet,KernelSHAP,14.0,4,2.0,0.49998290162200415,0.506346670861885,0.4999979139256796,0.5062207763241123,1.5012303675465689e-05,0.0005421912595731347,40
,MI,0-7,shallowconvnet,KernelSHAP,14.0,4,5.0,0.49998290162200415,0.506346670861885,0.4999979139256796,0.5062207763241123,1.5012303675465689e-05,0.0005421912595731347,40
,MI,0-7,shallowconvnet,KernelSHAP,14.0,4,10.0,0.49998290162200415,0.506346670861885,0.4999979139256796,0.5062207763241123,1.5012303675465689e-05,0.0005421912595731347,40
,MI,0-7,shallowconvnet,KernelSHAP,14.0,4,20.0,0.49998290162200415,0.506346670861885,0.4999979139256796,0.5062207763241123,1.5012303675465689e-05,0.0005421912595731347,40
,MI,0-7,shallowconvnet,KernelSHAP,14.0,4,30.0,0.49998290162200415,0.506346670861885,0.4999979139256796,0.5062207763241123,1.5012303675465689e-05,0.0005421912595731347,40
,MI,0-7,shallowconvnet,KernelSHAP,14.0,4,50.0,0.49998290162200415,0.506346670861885,0.4999979139256796,0.5062207763241123,1.5012303675465689e-05,0.0005421912595731347,40
,MI,0-7,shallowconvnet,KernelSHAP,14.0,4,70.0,0.49998290162200415,0.506346670861885,0.4999979139256796,0.5062207763241123,1.5012303675465689e-05,0.0005421912595731347,40
,MI,0-7,shallowconvnet,KernelSHAP,14.0,4,90.0,0.49998290162200415,0.506346670861885,0.4999979139256796,0.5062207763241123,1.5012303675465689e-05,0.0005421912595731347,40
,MI,0-7,shallowconvnet,KernelSHAP,14.0,4,100.0,0.5,0.5063696835418332,0.5,0.5063696835418332,0.0,0.0,40
,MI,0-7,shallowconvnet,LIME,12.0,5,0.0,0.9169157550615423,0.12929746467361977,0.9169157550615423,0.12929746467361977,0.0,0.0,34
,MI,0-7,shallowconvnet,LIME,12.0,5,1.0,0.5978434399054082,0.490956848827638,0.6095844993045225,0.4890199415487314,0.011741059399114281,0.068403336847645,34
,MI,0-7,shallowconvnet,LIME,12.0,5,2.0,0.5978434399054082,0.490956848827638,0.6095844993045225,0.4890199415487314,0.011741059399114281,0.068403336847645,34
,MI,0-7,shallowconvnet,LIME,12.0,5,5.0,0.5978434399054082,0.490956848827638,0.6095844993045225,0.4890199415487314,0.011741059399114281,0.068403336847645,34
,MI,0-7,shallowconvnet,LIME,12.0,5,10.0,0.5978434399054082,0.490956848827638,0.6095844993045225,0.4890199415487314,0.011741059399114281,0.068403336847645,34
,MI,0-7,shallowconvnet,LIME,12.0,5,20.0,0.5978434399054082,0.490956848827638,0.6095844993045225,0.4890199415487314,0.011741059399114281,0.068403336847645,34
,MI,0-7,shallowconvnet,LIME,12.0,5,30.0,0.5978434399054082,0.490956848827638,0.6095844993045225,0.4890199415487314,0.011741059399114281,0.068403336847645,34
,MI,0-7,shallowconvnet,LIME,12.0,5,50.0,0.5978434399054082,0.490956848827638,0.6095844993045225,0.4890199415487314,0.011741059399114281,0.068403336847645,34
,MI,0-7,shallowconvnet,LIME,12.0,5,70.0,0.5978434399054082,0.490956848827638,0.6095844993045225,0.4890199415487314,0.011741059399114281,0.068403336847645,34
,MI,0-7,shallowconvnet,LIME,12.0,5,90.0,0.5978434399054082,0.490956848827638,0.6095844993045225,0.4890199415487314,0.011741059399114281,0.068403336847645,34
,MI,0-7,shallowconvnet,LIME,12.0,5,100.0,0.5882352941959058,0.4995541683406985,0.5882352941959058,0.4995541683406985,0.0,0.0,34
,MI,0-7,shallowconvnet,LIME,14.0,4,0.0,0.9904037982225418,0.024690078617475984,0.9904037982225418,0.024690078617475984,0.0,0.0,40
